indice_tiempo,tipo_cambio_real_estados_unidos
2011-07-21,89.75700431059866
2011-07-22,89.71465363556257
2011-07-23,89.67232294314172
2011-07-24,89.63001222390751
2011-07-25,89.50114237061659
2011-07-26,89.50218154400801
2011-07-27,89.48157545744301
2011-07-28,89.5258113419008
2011-07-29,89.54838160867153
2011-07-30,89.50612936954387
2011-07-31,89.46389706658573
2011-08-01,89.4468258015247
2011-08-02,89.40818246537033
2011-08-03,89.41263067370022
2011-08-04,89.3955068735927
2011-08-05,89.39987666306
2011-08-06,89.33971039567734
2011-08-07,89.27958462029385
2011-08-08,89.17656403568834
2011-08-09,89.18090762576712
2011-08-10,89.12088872491492
2011-08-11,89.10375886264622
2011-08-12,89.02238197876558
2011-08-13,88.96246976594044
2011-08-14,88.90259787413534
2011-08-15,88.90686639618255
2011-08-16,88.88973657919209
2011-08-17,88.91526546364301
2011-08-18,88.98336691757677
2011-08-19,89.03002718884298
2011-08-20,88.97010983077861
2011-08-21,88.91023279719705
2011-08-22,88.85039606095978
2011-08-23,88.91811122672495
2011-08-24,88.9007444603699
2011-08-25,88.81969076672479
2011-08-26,88.73870590569749
2011-08-27,88.67898460734672
2011-08-28,88.61930350153027
2011-08-29,88.64432763056853
2011-08-30,88.73273400581888
2011-08-31,88.7787056618785
2011-09-01,89.23592942303759
2011-09-02,88.72136462535107
2011-09-03,88.67159822450249
2011-09-04,88.62185973907951
2011-09-05,88.69862057058697
2011-09-06,88.64886692754202
2011-09-07,88.57808626377577
2011-09-08,88.42318463860387
2011-09-09,88.39461681057391
2011-09-10,88.34503369210377
2011-09-11,88.29547838625082
2011-09-12,88.26694682099665
2011-09-13,88.217435316347
2011-09-14,88.1679515841442
2011-09-15,88.13945624049614
2011-09-16,88.09001624903118
2011-09-17,88.04060398989925
2011-09-18,87.99121944754455
2011-09-19,87.94186260641982
2011-09-20,87.57900479420563
2011-09-21,87.50898899034064
2011-09-22,87.68956579485328
2011-09-23,87.74471194358351
2011-09-24,87.6954933757068
2011-09-25,87.64630241596022
2011-09-26,87.59713904885754
2011-09-27,87.54800325892124
2011-09-28,87.49889503068249
2011-09-29,87.44981434868113
2011-09-30,87.40076119746567
2011-10-01,87.37179758910852
2011-10-02,87.3428435789585
2011-10-03,87.31389916383489
2011-10-04,87.28496434055796
2011-10-05,87.29754019470344
2011-10-06,87.3308417962563
2011-10-07,87.3019013583856
2011-10-08,87.27297051104361
2011-10-09,87.24404925105209
2011-10-10,87.21513757523397
2011-10-11,87.20694480000465
2011-10-12,87.17804542017544
2011-10-13,87.19054680967777
2011-10-14,87.2237190777192
2011-10-15,87.19481413908699
2011-10-16,87.1659187792194
2011-10-17,87.01302393470274
2011-10-18,87.29410873067411
2011-10-19,87.47172527155546
2011-10-20,87.44273814651928
2011-10-21,87.41376062748337
2011-10-22,87.38479271126442
2011-10-23,87.3558343946802
2011-10-24,87.34750595451983
2011-10-25,87.31855999433847
2011-10-26,87.28962362651589
2011-10-27,87.26069684787319
2011-10-28,87.2317796552327
2011-10-29,87.20287204541769
2011-10-30,87.17397401525255
2011-10-31,87.14508556156267
2011-11-01,87.21316780854394
2011-11-02,87.36340630946127
2011-11-03,87.32858005939536
2011-11-04,87.41700595261851
2011-11-05,87.38215833577385
2011-11-06,87.34732461046417
2011-11-07,87.39456539593681
2011-11-08,87.35972672471905
2011-11-09,87.32490194147026
2011-11-10,87.35156293575324
2011-11-11,87.50108357734732
2011-11-12,87.46620244408533
2011-11-13,87.43133521571926
2011-11-14,87.45785582061528
2011-11-15,87.17759404746387
2011-11-16,87.02019184522145
2011-11-17,86.96506889117201
2011-11-18,86.95082680925135
2011-11-19,86.91616502846905
2011-11-20,86.8815170651407
2011-11-21,86.86728387286409
2011-11-22,86.85304822188995
2011-11-23,86.81842541922991
2011-11-24,86.86532270298305
2011-11-25,86.8306950072658
2011-11-26,86.7960811154149
2011-11-27,86.76148102192774
2011-11-28,86.72689472130374
2011-11-29,86.93635407914392
2011-11-30,87.02366536325495
2011-12-01,86.99277363436327
2011-12-02,86.96188812863244
2011-12-03,86.91071683056255
2011-12-04,86.85957564340454
2011-12-05,86.86926898409996
