indice_tiempo,tipo_cambio_real_multilateral_actual
2008-05-02,154.48515069736192
2008-05-03,154.50602102306902
2008-05-04,154.5268941682736
2008-05-05,154.44836943681662
2008-05-06,154.779481351477
2008-05-07,153.83505909020337
2008-05-08,153.2902391012905
2008-05-09,153.57760592198332
2008-05-10,153.59835364202266
2008-05-11,153.61910416499597
2008-05-12,154.70214784455442
2008-05-13,154.13964022264352
2008-05-14,153.8175308379637
2008-05-15,153.77997288212447
2008-05-16,154.06925703406318
2008-05-17,154.09007117420055
2008-05-18,154.11088812624496
2008-05-19,153.90499210010483
2008-05-20,153.59318367982047
2008-05-21,153.6602332575801
2008-05-22,153.45199141449854
2008-05-23,153.4559899406418
2008-05-24,153.47672123084874
2008-05-25,153.49745532177005
2008-05-26,153.90519597697957
2008-05-27,152.69654251419982
2008-05-28,152.1373056564485
2008-05-29,152.16850368253705
2008-05-30,152.4059842430204
2008-05-31,152.42657368165902
2008-06-01,152.3409405597999
2008-06-02,151.34386035247363
2008-06-03,150.29040872668008
2008-06-04,150.39157094848025
2008-06-05,149.99740324793072
2008-06-06,150.63618187069497
2008-06-07,150.55155458946078
2008-06-08,150.46697485176256
2008-06-09,150.02891275189728
2008-06-10,148.94290918947883
2008-06-11,148.88479049369644
2008-06-12,148.15225340394687
2008-06-13,147.28765722426203
2008-06-14,147.20491114137906
2008-06-15,147.12221154517638
2008-06-16,147.03955840953788
2008-06-17,148.1130905849401
2008-06-18,148.18695252456968
2008-06-19,148.2302031592018
2008-06-20,148.1311475725013
2008-06-21,148.04792761744483
2008-06-22,147.9647544152896
2008-06-23,146.6043825690596
2008-06-24,146.77714735822897
2008-06-25,146.87176243302437
2008-06-26,147.5939196933934
2008-06-27,147.0881517258711
2008-06-28,147.0055177250107
2008-06-29,146.9229301478629
2008-06-30,147.0644750123449
2008-07-01,146.50523792745312
2008-07-02,147.03342771045843
2008-07-03,146.79867441689711
2008-07-04,146.67260957814239
2008-07-05,146.6342851931923
2008-07-06,146.59597082209888
2008-07-07,146.39094951061026
2008-07-08,145.84542800090642
2008-07-09,145.80731975191574
